verifier_model,policy,candidate_n,base_n,mutant_n,base_false_positive_count,detected_mutant_count,primary_exact_count,top2_exact_count,top3_exact_count,reciprocal_rank_sum,silent_mutant_n,silent_detected_count,silent_primary_exact_count,raw_true_witness_opportunity_count,true_witness_retained_count,nonmutated_witness_retained_count,witness_review_count,blind_yes_count,blind_no_count,blind_cannot_tell_count,probe_aware_yes_count,probe_aware_no_count,probe_aware_cannot_tell_count,consensus_confirmed_violation_count,consensus_confirmed_permitted_count,consensus_inconsistent_count,consensus_cannot_tell_count,consensus_unconfirmed_count,root_multi_fail_case_count,root_adjudicator_abstain_count,root_adjudicator_technical_failure_count,blind_call_count,probe_aware_call_count,root_cause_call_count,base_false_positive_rate,detection_recall,primary_exact_localization_percentage,primary_exact_given_detection,top2_localization_percentage,top3_localization_percentage,mean_reciprocal_rank,silent_detection_recall,silent_primary_exact_percentage,true_witness_retention_rate,dual_decisive_agreement_rate,dual_unconfirmed_rate,root_adjudicator_abstain_rate,root_adjudicator_technical_failure_rate
ALL_MODELS,blind_current,90,28,62,7,35,14,19,19,16.92007575757576,44,28,13,40,24,181,413,106,91,53,203,25,22,100,9,88,53,141,29,0,0,233,233,9,0.25,0.5645,22.58,0.4,30.65,30.65,0.2729,0.6364,29.55,0.6,0.2639,0.3414,0.0,0.0
ALL_MODELS,blind_hybrid,90,28,62,7,35,15,19,19,17.62202380952381,44,28,14,40,24,181,413,106,91,53,203,25,22,100,9,88,53,141,29,0,0,233,233,9,0.25,0.5645,24.19,0.4286,30.65,30.65,0.2842,0.6364,31.82,0.6,0.2639,0.3414,0.0,0.0
ALL_MODELS,blind_root,90,28,62,7,35,15,19,19,17.62202380952381,44,28,14,40,24,181,413,106,91,53,203,25,22,100,9,88,53,141,29,0,0,233,233,9,0.25,0.5645,24.19,0.4286,30.65,30.65,0.2842,0.6364,31.82,0.6,0.2639,0.3414,0.0,0.0
ALL_MODELS,dual_current,90,28,62,7,34,16,19,19,17.92007575757576,44,27,15,40,24,175,413,106,91,53,203,25,22,100,9,88,53,141,27,0,0,233,233,7,0.25,0.5484,25.81,0.4706,30.65,30.65,0.289,0.6136,34.09,0.6,0.2639,0.3414,0.0,0.0
ALL_MODELS,dual_hybrid,90,28,62,7,34,16,19,19,18.12202380952381,44,27,15,40,24,175,413,106,91,53,203,25,22,100,9,88,53,141,27,0,0,233,233,7,0.25,0.5484,25.81,0.4706,30.65,30.65,0.2923,0.6136,34.09,0.6,0.2639,0.3414,0.0,0.0
ALL_MODELS,dual_root,90,28,62,7,34,16,19,19,18.12202380952381,44,27,15,40,24,175,413,106,91,53,203,25,22,100,9,88,53,141,27,0,0,233,233,7,0.25,0.5484,25.81,0.4706,30.65,30.65,0.2923,0.6136,34.09,0.6,0.2639,0.3414,0.0,0.0
ALL_MODELS,official_raw_current,90,28,62,7,34,16,19,19,17.92007575757576,44,27,15,40,40,270,413,106,91,53,203,25,22,100,9,88,53,141,50,0,0,233,233,0,0.25,0.5484,25.81,0.4706,30.65,30.65,0.289,0.6136,34.09,1.0,0.2639,0.3414,0.0,0.0
ALL_MODELS,probe_aware_current,90,28,62,14,48,21,27,29,25.753409090909088,44,34,19,40,37,242,413,106,91,53,203,25,22,100,9,88,53,141,40,0,3,233,233,25,0.5,0.7742,33.87,0.4375,43.55,46.77,0.4154,0.7727,43.18,0.925,0.2639,0.3414,0.0,0.075
ALL_MODELS,probe_aware_hybrid,90,28,62,14,48,21,27,29,25.854166666666664,44,34,19,40,37,242,413,106,91,53,203,25,22,100,9,88,53,141,40,0,3,233,233,25,0.5,0.7742,33.87,0.4375,43.55,46.77,0.417,0.7727,43.18,0.925,0.2639,0.3414,0.0,0.075
ALL_MODELS,probe_aware_root,90,28,62,14,48,21,27,29,25.854166666666664,44,34,19,40,37,242,413,106,91,53,203,25,22,100,9,88,53,141,40,0,3,233,233,25,0.5,0.7742,33.87,0.4375,43.55,46.77,0.417,0.7727,43.18,0.925,0.2639,0.3414,0.0,0.075
